Date,Moon Phase (%)
2020-08-31,95.01575469970703
2020-09-01,98.38651275634766
2020-09-02,99.7803955078125
2020-09-03,99.23541259765625
2020-09-04,96.85330963134766
2020-09-05,92.78365325927734
2020-09-06,87.20765686035156
2020-09-07,80.32466888427734
2020-09-08,72.34432220458984
2020-09-09,63.486045837402344
2020-09-10,53.98685073852539
2020-09-11,44.11684799194336
2020-09-12,34.20025634765625
2020-09-13,24.636743545532227
2020-09-14,15.913877487182617
2020-09-15,8.596963882446289
2020-09-16,3.2819671630859375
2020-09-17,0.5062118172645569
2020-09-18,0.633017897605896
2020-09-19,3.751160144805908
2020-09-20,9.636302947998047
2020-09-21,17.795665740966797
2020-09-22,27.574207305908203
2020-09-23,38.274070739746094
2020-09-24,49.245704650878906
2020-09-25,59.9353141784668
2020-09-26,69.89579772949219
2020-09-27,78.77711486816406
2020-09-28,86.310546875
2020-09-29,92.29515075683594
2020-09-30,96.58934020996094
2020-10-01,99.10675811767578
2020-10-02,99.81398010253906
2020-10-03,98.7278060913086
2020-10-04,95.91061401367188
2020-10-05,91.46373748779297
2020-10-06,85.52042388916016
2020-10-07,78.24070739746094
2020-10-08,69.81071472167969
2020-10-09,60.448795318603516
2020-10-10,50.419551849365234
2020-10-11,40.05476760864258
2020-10-12,29.776763916015625
2020-10-13,20.1138973236084
2020-10-14,11.691920280456543
2020-10-15,5.183000564575195
2020-10-16,1.204516887664795
2020-10-17,0.1866217404603958
2020-10-18,2.2583584785461426
2020-10-19,7.208499431610107
2020-10-20,14.542838096618652
2020-10-21,23.607147216796875
2020-10-22,33.71738052368164
2020-10-23,44.25202560424805
2020-10-24,54.69392395019531
2020-10-25,64.63285064697266
2020-10-26,73.74775695800781
2020-10-27,81.78411865234375
2020-10-28,88.53534698486328
2020-10-29,93.83161163330078
2020-10-30,97.53590393066406
2020-10-31,99.54544830322266
2020-11-01,99.7958984375
2020-11-02,98.26556396484375
2020-11-03,94.97795104980469
2020-11-04,90.00223541259766
2020-11-05,83.45263671875
2020-11-06,75.48900604248047
2020-11-07,66.32148742675781
2020-11-08,56.22136306762695
2020-11-09,45.538211822509766
2020-11-10,34.71955490112305
2020-11-11,24.322961807250977
2020-11-12,15.00442886352539
2020-11-13,7.465308666229248
2020-11-14,2.351156234741211
2020-11-15,0.12248018383979797
2020-11-16,0.9461284875869751
2020-11-17,4.659769058227539
2020-11-18,10.827569007873535
2020-11-19,18.85647201538086
2020-11-20,28.118568420410156
2020-11-21,38.03821563720703
2020-11-22,48.131996154785156
2020-11-23,58.01142501831055
2020-11-24,67.36541748046875
2020-11-25,75.93678283691406
2020-11-26,83.50155639648438
2020-11-27,89.85527038574219
2020-11-28,94.80765533447266
2020-11-29,98.1850814819336
2020-11-30,99.83921813964844
2020-12-01,99.65922546386719
2020-12-02,97.58457946777344
2020-12-03,93.61590576171875
2020-12-04,87.8223876953125
2020-12-05,80.34613800048828
2020-12-06,71.4056396484375
2020-12-07,61.30061340332031
2020-12-08,50.41952133178711
2020-12-09,39.24712371826172
2020-12-10,28.36433982849121
2020-12-11,18.427879333496094
2020-12-12,10.117240905761719
2020-12-13,4.046821594238281
2020-12-14,0.661045491695404
2020-12-15,0.1496131718158722
2020-12-16,2.420259952545166
2020-12-17,7.141197204589844
2020-12-18,13.83145809173584
2020-12-19,21.959806442260742
2020-12-20,31.020099639892578
2020-12-21,40.57088851928711
2020-12-22,50.24372100830078
2020-12-23,59.73165512084961
2020-12-24,68.7691879272461
2020-12-25,77.11170959472656
2020-12-26,84.51942443847656
2020-12-27,90.74886322021484
2020-12-28,95.5535659790039
2020-12-29,98.6946792602539
2020-12-30,99.96035766601562
2020-12-31,99.19091033935547
2021-01-01,96.30477905273438
2021-01-02,91.31991577148438
2021-01-03,84.36624908447266
2021-01-04,75.68826293945312
2021-01-05,65.63945770263672
2021-01-06,54.67177200317383
2021-01-07,43.32148742675781
2021-01-08,32.189361572265625
2021-01-09,21.909339904785156
2021-01-10,13.100460052490234
2021-01-11,6.30267858505249
2021-01-12,1.9083120822906494
2021-01-13,0.10977741330862045
2021-01-14,0.8834101557731628
2021-01-15,4.0160393714904785
2021-01-16,9.163302421569824
2021-01-17,15.91789436340332
2021-01-18,23.867292404174805
2021-01-19,32.63001251220703
2021-01-20,41.869422912597656
2021-01-21,51.290164947509766
2021-01-22,60.62400817871094
2021-01-23,69.61135864257812
2021-01-24,77.98341369628906
2021-01-25,85.44925689697266
2021-01-26,91.69212341308594
2021-01-27,96.37862396240234
2021-01-28,99.18354797363281
2021-01-29,99.828857421875
2021-01-30,98.130615234375
2021-01-31,94.04219055175781
2021-02-01,87.68104553222656
2021-02-02,79.33069610595703
2021-02-03,69.41846466064453
2021-02-04,58.47709655761719
2021-02-05,47.100975036621094
2021-02-06,35.904380798339844
2021-02-07,25.483478546142578
2021-02-08,16.380165100097656
2021-02-09,9.046277046203613
2021-02-10,3.810800075531006
2021-02-11,0.8566775918006897
2021-02-12,0.2146783173084259
2021-02-13,1.7777818441390991
2021-02-14,5.332866668701172
2021-02-15,10.600905418395996
2021-02-16,17.275333404541016
2021-02-17,25.050752639770508
2021-02-18,33.638397216796875
2021-02-19,42.768531799316406
2021-02-20,52.18227767944336
2021-02-21,61.6162109375
2021-02-22,70.78372192382812
2021-02-23,79.35760498046875
2021-02-24,86.96004486083984
2021-02-25,93.1673812866211
2021-02-26,97.53721618652344
2021-02-27,99.66112518310547
2021-02-28,99.23651885986328
2021-03-01,96.13890075683594
2021-03-02,90.46845245361328
2021-03-03,82.55107879638672
2021-03-04,72.8930435180664
2021-03-05,62.10755157470703
2021-03-06,50.839237213134766
2021-03-07,39.70526123046875
2021-03-08,29.258453369140625
2021-03-09,19.967967987060547
2021-03-10,12.20954418182373
2021-03-11,6.259750843048096
2021-03-12,2.292611598968506
2021-03-13,0.3802354037761688
2021-03-14,0.4997480511665344
2021-03-15,2.547441005706787
2021-03-16,6.358547210693359
2021-03-17,11.728947639465332
2021-03-18,18.434436798095703
2021-03-19,26.24388885498047
2021-03-20,34.92414093017578
2021-03-21,44.23586654663086
2021-03-22,53.921199798583984
2021-03-23,63.6851692199707
2021-03-24,73.17488098144531
2021-03-25,81.96342468261719
2021-03-26,89.5491714477539
2021-03-27,95.38317108154297
2021-03-28,98.9336166381836
2021-03-29,99.78231048583984
2021-03-30,97.72672271728516
2021-03-31,92.84630584716797
2021-04-01,85.50025177001953
2021-04-02,76.25662994384766
2021-04-03,65.78561401367188
2021-04-04,54.759193420410156
2021-04-05,43.78417205810547
2021-04-06,33.37236022949219
2021-04-07,23.93716812133789
2021-04-08,15.802475929260254
2021-04-09,9.213367462158203
2021-04-10,4.343913555145264
2021-04-11,1.3015450239181519
2021-04-12,0.12996400892734528
2021-04-13,0.8130725026130676
2021-04-14,3.2815258502960205
2021-04-15,7.421857833862305
2021-04-16,13.086599349975586
2021-04-17,20.102863311767578
2021-04-18,28.2766170501709
2021-04-19,37.39035415649414
2021-04-20,47.19289016723633
2021-04-21,57.3817138671875
2021-04-22,67.58087158203125
2021-04-23,77.32185363769531
2021-04-24,86.04015350341797
2021-04-25,93.1042709350586
2021-04-26,97.88996887207031
2021-04-27,99.89502716064453
2021-04-28,98.8609848022461
2021-04-29,94.84912109375
2021-04-30,88.23081970214844
2021-05-01,79.59693908691406
2021-05-02,69.63121032714844
2021-05-03,58.999691009521484
2021-05-04,48.28448486328125
2021-05-05,37.9616584777832
2021-05-06,28.408058166503906
2021-05-07,19.919912338256836
2021-05-08,12.731597900390625
2021-05-09,7.02877950668335
2021-05-10,2.9547410011291504
2021-05-11,0.6112977862358093
2021-05-12,0.05689024552702904
2021-05-13,1.3044683933258057
2021-05-14,4.320977687835693
2021-05-15,9.02892780303955
2021-05-16,15.309024810791016
2021-05-17,23.00164222717285
2021-05-18,31.904409408569336
2021-05-19,41.76365661621094
2021-05-20,52.259010314941406
2021-05-21,62.98359298706055
2021-05-22,73.42745208740234
2021-05-23,82.97791290283203
2021-05-24,90.9544677734375
2021-05-25,96.69048309326172
2021-05-26,99.6537857055664
2021-05-27,99.56838989257812
2021-05-28,96.48323059082031
2021-05-29,90.75267028808594
2021-05-30,82.93978118896484
2021-05-31,73.69062805175781
2021-06-01,63.629364013671875
2021-06-02,53.29832077026367
2021-06-03,43.14077377319336
2021-06-04,33.5108528137207
2021-06-05,24.694637298583984
2021-06-06,16.931232452392578
2021-06-07,10.428117752075195
2021-06-08,5.368689060211182
2021-06-09,1.912388801574707
2021-06-10,0.1891728788614273
2021-06-11,0.2908109426498413
2021-06-12,2.2616994380950928
2021-06-13,6.091293811798096
2021-06-14,11.709016799926758
2021-06-15,18.98092269897461
2021-06-16,27.706090927124023
2021-06-17,37.6103630065918
2021-06-18,48.33626937866211
2021-06-19,59.431243896484375
2021-06-20,70.34133911132812
2021-06-21,80.42293548583984
2021-06-22,88.9867172241211
2021-06-23,95.38079071044922
2021-06-24,99.10018157958984
2021-06-25,99.88738250732422
2021-06-26,97.78050231933594
2021-06-27,93.08655548095703
2021-06-28,86.29463195800781
2021-06-29,77.96907043457031
2021-06-30,68.66141510009766
2021-07-01,58.85942459106445
2021-07-02,48.97140884399414
2021-07-03,39.33417892456055
2021-07-04,30.231891632080078
2021-07-05,21.91636848449707
2021-07-06,14.623175621032715
2021-07-07,8.580488204956055
2021-07-08,4.009471416473389
2021-07-09,1.1163311004638672
2021-07-10,0.07751407474279404
2021-07-11,1.0208656787872314
2021-07-12,4.0063886642456055
2021-07-13,9.010174751281738
2021-07-14,15.913786888122559
2021-07-15,24.499242782592773
2021-07-16,34.448055267333984
2021-07-17,45.34269714355469
2021-07-18,56.671043395996094
2021-07-19,67.83821105957031
2021-07-20,78.19366455078125
2021-07-21,87.08121490478516
2021-07-22,93.91202545166016
2021-07-23,98.24752807617188
2021-07-24,99.86638641357422
2021-07-25,98.7896957397461
2021-07-26,95.25411224365234
2021-07-27,89.6454086303711
2021-07-28,82.41934204101562
2021-07-29,74.0347900390625
2021-07-30,64.9123306274414
2021-07-31,55.418704986572266
2021-08-01,45.87065124511719
2021-08-02,36.549522399902344
2021-08-03,27.71963882446289
2021-08-04,19.644906997680664
2021-08-05,12.599838256835938
2021-08-06,6.871651649475098
2021-08-07,2.751206398010254
2021-08-08,0.5120116472244263
2021-08-09,0.3792666494846344
2021-08-10,2.49420428276062
2021-08-11,6.881639003753662
2021-08-12,13.428739547729492
2021-08-13,21.879913330078125
2021-08-14,31.847684860229492
2021-08-15,42.83540725708008
2021-08-16,54.266845703125
2021-08-17,65.52002716064453
2021-08-18,75.96620178222656
2021-08-19,85.0155258178711
2021-08-20,92.16818237304688
2021-08-21,97.0632553100586
2021-08-22,99.51329040527344
2021-08-23,99.5128402709961
2021-08-24,97.21758270263672
2021-08-25,92.90089416503906
2021-08-26,86.90177154541016
2021-08-27,79.57832336425781
2021-08-28,71.27568054199219
2021-08-29,62.310943603515625
2021-08-30,52.97298049926758
2021-08-31,43.5328369140625
2021-09-01,34.2599983215332
2021-09-02,25.440114974975586
2021-09-03,17.389446258544922
2021-09-04,10.460946083068848
2021-09-05,5.036252975463867
2021-09-06,1.4990859031677246
2021-09-07,0.18945054709911346
2021-09-08,1.3453387022018433
2021-09-09,5.046607494354248
2021-09-10,11.179342269897461
2021-09-11,19.433868408203125
2021-09-12,29.33699607849121
2021-09-13,40.30655288696289
2021-09-14,51.71133804321289
2021-09-15,62.92364501953125
2021-09-16,73.35977935791016
2021-09-17,82.51043701171875
2021-09-18,89.96448516845703
2021-09-19,95.42736053466797
2021-09-20,98.73214721679688
2021-09-21,99.83965301513672
2021-09-22,98.82569885253906
2021-09-23,95.85710144042969
2021-09-24,91.16156768798828
2021-09-25,84.9980697631836
2021-09-26,77.6335678100586
2021-09-27,69.32945251464844
2021-09-28,60.33866882324219
2021-09-29,50.91252899169922
2021-09-30,41.315223693847656
2021-10-01,31.84280014038086
2021-10-02,22.842164993286133
2021-10-03,14.723297119140625
2021-10-04,7.95534086227417
2021-10-05,3.036632776260376
2021-10-06,0.43334630131721497
2021-10-07,0.49382027983665466
2021-10-08,3.3623580932617188
2021-10-09,8.926132202148438
2021-10-10,16.819990158081055
2021-10-11,26.488004684448242
2021-10-12,37.275211334228516
2021-10-13,48.515708923339844
2021-10-14,59.595054626464844
2021-10-15,69.98274993896484
2021-10-16,79.24290466308594
2021-10-17,87.03407287597656
2021-10-18,93.10618591308594
2021-10-19,97.29776000976562
2021-10-20,99.53256225585938
2021-10-21,99.81376647949219
2021-10-22,98.21387481689453
2021-10-23,94.8605728149414
2021-10-24,89.92058563232422
2021-10-25,83.58453369140625
2021-10-26,76.05613708496094
2021-10-27,67.54811096191406
2021-10-28,58.286319732666016
2021-10-29,48.52223587036133
2021-10-30,38.5524787902832
2021-10-31,28.741649627685547
2021-11-01,19.540971755981445
2021-11-02,11.490345001220703
2021-11-03,5.188282489776611
2021-11-04,1.2184394598007202
2021-11-05,0.038644760847091675
2021-11-06,1.865131139755249
2021-11-07,6.602182865142822
2021-11-08,13.854032516479492
2021-11-09,23.013994216918945
2021-11-10,33.38745880126953
2021-11-11,44.299163818359375
2021-11-12,55.157867431640625
2021-11-13,65.4786148071289
2021-11-14,74.87776947021484
2021-11-15,83.05709075927734
2021-11-16,89.78816986083984
2021-11-17,94.90185546875
2021-11-18,98.28328704833984
2021-11-19,99.87013244628906
2021-11-20,99.65150451660156
2021-11-21,97.66507720947266
2021-11-22,93.99183654785156
2021-11-23,88.7490463256836
2021-11-24,82.08364868164062
2021-11-25,74.16875457763672
2021-11-26,65.20591735839844
2021-11-27,55.43516540527344
2021-11-28,45.153011322021484
2021-11-29,34.73594284057617
2021-11-30,24.66196632385254
2021-12-01,15.516379356384277
2021-12-02,7.96295166015625
2021-12-03,2.665243625640869
2021-12-04,0.16256718337535858
2021-12-05,0.7379235625267029
2021-12-06,4.337404251098633
2021-12-07,10.584280967712402
2021-12-08,18.88011360168457
2021-12-09,28.540624618530273
2021-12-10,38.909812927246094
2021-12-11,49.424190521240234
2021-12-12,59.630130767822266
2021-12-13,69.17213439941406
2021-12-14,77.7701644897461
2021-12-15,85.19792175292969
2021-12-16,91.26789093017578
2021-12-17,95.82429504394531
2021-12-18,98.74272155761719
2021-12-19,99.93409729003906
2021-12-20,99.34992980957031
2021-12-21,96.98666381835938
2021-12-22,92.88763427734375
2021-12-23,87.14295959472656
2021-12-24,79.88909912109375
2021-12-25,71.31074523925781
2021-12-26,61.64787292480469
2021-12-27,51.20937728881836
2021-12-28,40.391807556152344
2021-12-29,29.696556091308594
2021-12-30,19.732276916503906
2021-12-31,11.184610366821289
2022-01-01,4.739161491394043
2022-01-02,0.9628596305847168
2022-01-03,0.17906059324741364
2022-01-04,2.3911144733428955
2022-01-05,7.293322563171387
2022-01-06,14.36216926574707
2022-01-07,22.98102378845215
2022-01-08,32.54716491699219
2022-01-09,42.534515380859375
2022-01-10,52.5128173828125
2022-01-11,62.13825225830078
2022-01-12,71.13153076171875
2022-01-13,79.25497436523438
2022-01-14,86.29486846923828
2022-01-15,92.05168151855469
2022-01-16,96.338623046875
2022-01-17,98.98756408691406
2022-01-18,99.86019897460938
2022-01-19,98.86170959472656
2022-01-20,95.95381164550781
2022-01-21,91.16497039794922
2022-01-22,84.59681701660156
2022-01-23,76.42797088623047
2022-01-24,66.91757202148438
2022-01-25,56.41053771972656
2022-01-26,45.344261169433594
2022-01-27,34.25221252441406
2022-01-28,23.754257202148438
2022-01-29,14.521056175231934
2022-01-30,7.204414367675781
2022-01-31,2.3405370712280273
2022-02-01,0.2535635828971863
2022-02-02,0.9978979825973511
2022-02-03,4.3654584884643555
2022-02-04,9.953042030334473
2022-02-05,17.258068084716797
2022-02-06,25.76604652404785
2022-02-07,35.00767517089844
2022-02-08,44.582210540771484
2022-02-09,54.15545654296875
2022-02-10,63.44375228881836
2022-02-11,72.19344329833984
2022-02-12,80.16221618652344
2022-02-13,87.1062240600586
2022-02-14,92.77555084228516
2022-02-15,96.91942596435547
2022-02-16,99.30127716064453
2022-02-17,99.72190856933594
2022-02-18,98.04688262939453
2022-02-19,94.23248291015625
2022-02-20,88.34479522705078
2022-02-21,80.56842803955078
2022-02-22,71.20490264892578
2022-02-23,60.663246154785156
2022-02-24,49.445613861083984
2022-02-25,38.1282958984375
2022-02-26,27.33473014831543
2022-02-27,17.695241928100586
2022-02-28,9.791229248046875
2022-03-01,4.089682102203369
2022-03-02,0.8838117718696594
2022-03-03,0.2597742974758148
2022-03-04,2.102485179901123
2022-03-05,6.138138294219971
2022-03-06,11.996939659118652
2022-03-07,19.275144577026367
2022-03-08,27.581125259399414
2022-03-09,36.55983352661133
2022-03-10,45.89775466918945
2022-03-11,55.314151763916016
2022-03-12,64.54483795166016
2022-03-13,73.32389831542969
2022-03-14,81.36788940429688
2022-03-15,88.36682891845703
2022-03-16,93.98629760742188
2022-03-17,97.88421630859375
2022-03-18,99.74358367919922
2022-03-19,99.31773376464844
2022-03-20,96.47883605957031
2022-03-21,91.25621032714844
2022-03-22,83.85269165039062
2022-03-23,74.63385009765625
2022-03-24,64.09501647949219
2022-03-25,52.8164176940918
2022-03-26,41.41703414916992
2022-03-27,30.512468338012695
2022-03-28,20.677051544189453
2022-03-29,12.40822982788086
2022-03-30,6.093526840209961
2022-03-31,1.9842557907104492
2022-04-01,0.1826317310333252
2022-04-02,0.6472938060760498
2022-04-03,3.2170631885528564
2022-04-04,7.646819591522217
2022-04-05,13.646092414855957
2022-04-06,20.91162872314453
2022-04-07,29.14858055114746
2022-04-08,38.07878112792969
2022-04-09,47.437435150146484
2022-04-10,56.96109390258789
2022-04-11,66.37036895751953
2022-04-12,75.35164642333984
2022-04-13,83.54301452636719
2022-04-14,90.5315170288086
2022-04-15,95.86980438232422
2022-04-16,99.11795043945312
2022-04-17,99.90930938720703
2022-04-18,98.02689361572266
2022-04-19,93.46587371826172
2022-04-20,86.45719909667969
2022-04-21,77.44146728515625
2022-04-22,67.00370788574219
2022-04-23,55.79387664794922
2022-04-24,44.457149505615234
2022-04-25,33.58576202392578
2022-04-26,23.6920108795166
2022-04-27,15.195064544677734
2022-04-28,8.414552688598633
2022-04-29,3.5671908855438232
2022-04-30,0.7665703892707825
2022-05-01,0.028071310371160507
